Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,TotalGoals,Over25,BTTS,Status
2024-07-03,Vasco DA Gama,Fortaleza EC,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-03,Criciuma,Cruzeiro,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-04,Atletico Paranaense,Sao Paulo,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-04,RB Bragantino,Atletico Goianiense,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-07-04,Atletico-MG,Flamengo,2,4,A,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-07-04,Bahia,Juventude,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-04,Gremio,Palmeiras,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-07-04,Fluminense,Internacional,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-07-04,Corinthians,Vitoria,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-07-06,Sao Paulo,RB Bragantino,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-06,Flamengo,Cuiaba,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-07-07,Cruzeiro,Corinthians,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-07-07,Juventude,Gremio,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-07-07,Fortaleza EC,Fluminense,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-07,Internacional,Vasco DA Gama,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-07,Palmeiras,Bahia,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-07,Vitoria,Criciuma,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-07,Atletico Goianiense,Atletico Paranaense,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-07,Botafogo,Atletico-MG,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-07-10,Gremio,Cruzeiro,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-10,Vasco DA Gama,Corinthians,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-10,Atletico Paranaense,Bahia,1,3,A,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-07-11,Palmeiras,Atletico Goianiense,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-07-11,Flamengo,Fortaleza EC,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-11,Criciuma,Fluminense,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-07-12,Vitoria,Botafogo,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-12,Atletico-MG,Sao Paulo,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-13,Bahia,Cuiaba,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-13,Cruzeiro,RB Bragantino,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-16,Juventude,Atletico-MG,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-07-17,Corinthians,Criciuma,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-17,Atletico Goianiense,Vasco DA Gama,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-17,Sao Paulo,Gremio,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-18,Botafogo,Palmeiras,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-18,Fortaleza EC,Vitoria,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-07-20,Flamengo,Criciuma,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-20,Botafogo,Internacional,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-21,Palmeiras,Cruzeiro,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-21,Gremio,Vitoria,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-21,Bahia,Corinthians,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-21,Atletico-MG,Vasco DA Gama,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-21,Juventude,Sao Paulo,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-07-21,Fortaleza EC,Atletico Goianiense,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-07-21,RB Bragantino,Atletico Paranaense,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-21,Cuiaba,Fluminense,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-24,Cruzeiro,Juventude,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-24,Criciuma,Fortaleza EC,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-07-24,Sao Paulo,Botafogo,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-07-24,Vitoria,Flamengo,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-25,Fluminense,Palmeiras,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-25,Atletico Goianiense,Bahia,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-07-25,Corinthians,Gremio,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-07-27,Palmeiras,Vitoria,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-27,Juventude,Criciuma,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-27,Bahia,Internacional,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-07-28,Botafogo,Cruzeiro,0,3,A,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-07-28,Fortaleza EC,Sao Paulo,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-28,RB Bragantino,Fluminense,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-28,Flamengo,Atletico Goianiense,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-28,Gremio,Vasco DA Gama,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-07-28,Atletico-MG,Corinthians,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-07-28,Cuiaba,Atletico Paranaense,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-08-03,Vitoria,Cuiaba,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-08-03,Vasco DA Gama,RB Bragantino,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-08-03,Criciuma,Atletico-MG,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-08-03,Atletico Goianiense,Botafogo,1,4,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
