Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,TotalGoals,Over25,BTTS,Status
2024-10-20,AS Roma,Inter,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-21,Hellas Verona,Monza,0,3,A,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-10-25,Udinese,Cagliari,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-10-25,Torino,Como,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-26,Napoli,Lecce,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-26,Atalanta,Hellas Verona,6,1,H,2.1,3.25,3.4,1.9,1.9,7,1,1,FT
2024-10-27,Parma,Empoli,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-10-27,Lazio,Genoa,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-10-27,Monza,Venezia,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-10-27,Inter,Juventus,4,4,D,2.1,3.25,3.4,1.9,1.9,8,1,1,FT
2024-10-27,Fiorentina,AS Roma,5,1,H,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-10-29,Cagliari,Bologna,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-10-29,Lecce,Hellas Verona,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-29,AC Milan,Napoli,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-10-30,Empoli,Inter,0,3,A,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-10-30,Venezia,Udinese,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-10-30,Juventus,Parma,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-10-30,Atalanta,Monza,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-10-31,Genoa,Fiorentina,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-31,AS Roma,Torino,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-31,Como,Lazio,1,5,A,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-11-02,Bologna,Lecce,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-02,Udinese,Juventus,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-11-02,Monza,AC Milan,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-03,Napoli,Atalanta,0,3,A,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-11-03,Torino,Fiorentina,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-03,Hellas Verona,AS Roma,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-11-03,Inter,Venezia,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-04,Empoli,Como,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-04,Parma,Genoa,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-04,Lazio,Cagliari,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-11-07,Genoa,Como,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-11-08,Lecce,Empoli,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-11-09,Venezia,Parma,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-11-09,Cagliari,AC Milan,3,3,D,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-11-09,Juventus,Torino,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-11-10,Atalanta,Udinese,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-11-10,AS Roma,Bologna,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-11-10,Fiorentina,Hellas Verona,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-11-10,Monza,Lazio,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-10,Inter,Napoli,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-11-23,Hellas Verona,Inter,0,5,A,2.1,3.25,3.4,1.9,1.9,5,1,0,FT
2024-11-23,AC Milan,Juventus,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-11-23,Parma,Atalanta,1,3,A,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-11-24,Genoa,Cagliari,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-11-24,Torino,Monza,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-11-24,Como,Fiorentina,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-11-24,Napoli,AS Roma,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-24,Lazio,Bologna,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-11-25,Empoli,Udinese,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-11-25,Venezia,Lecce,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-29,Cagliari,Hellas Verona,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
